ID	parent ID	DE	DE neu	DE merge	EN	EN neu	EN merge	Abfragen	sort	kiel extract	kiel+	kiel overwrite	kiel result	goe extract	goe+	goe overwrite	goe merge	goe result
		0			0			49		168	77	[]	77	172	126	{}		126
00X	vn65	Informatik, Wissen, das Buch		Informatik, Wissen, das Buch	Computer Science, Knowledge, The book		Computer Science, Knowledge, The book	{"goe":{"fi":" lsg='7 ah?' or lsg='7 agr 100' or lsg='7 ar?' or lsg='7 as?'"}}	00-		["kom 885*","kom 896*","kom 901*","kom 918.900"]		["kom 885*","kom 896*","kom 901*","kom 918.900"]	{"fi":" lsg='7 ah?' or lsg='7 agr 100' or lsg='7 ar?' or lsg='7 as?'"}	{"fi":" lsg='7 ah?' or lsg='7 agr 100' or lsg='7 ar?' or lsg='7 as?'"}		{"fi":" lsg='7 ah?' or lsg='7 agr 100' or lsg='7 ar?' or lsg='7 as?'"}	{"fi":" lsg='7 ah?' or lsg='7 agr 100' or lsg='7 ar?' or lsg='7 as?'"}
001	00X	Wissen und Wissenschaftskunde		Wissen und Wissenschaftskunde	Knowledge and Knowledge lore		Knowledge and Knowledge lore	{"goe":{"fi":" lsg='7 agr 100'"}}	001			[]		{"fi":" lsg='7 agr 100'"}	{"fi":" lsg='7 agr 100'"}		{"fi":" lsg='7 agr 100'"}	{"fi":" lsg='7 agr 100'"}
002	00X	Buchkunde		Buchkunde	Bibliology		Bibliology	{"goe":{"fi":" lsg='7 ar?' or lsg='7 as?'"},"kiel":["kom 885*","kom 896*","kom 901*","kom 918.900"]}	002	["kom 885*","kom 896*","kom 901*","kom 918.900"]	["kom 885*","kom 896*","kom 901*","kom 918.900"]		["kom 885*","kom 896*","kom 901*","kom 918.900"]	{"fi":" lsg='7 ar?' or lsg='7 as?'"}	{"fi":" lsg='7 ar?' or lsg='7 as?'"}		{"fi":" lsg='7 ar?' or lsg='7 as?'"}	{"fi":" lsg='7 ar?' or lsg='7 as?'"}
004	00X	Informatik		Informatik	Computer Science		Computer Science	{"goe":{"fi":" lsg='7 ah?'"}}	004			xxx		{"fi":" lsg='7 ah?'"}	{"fi":" lsg='7 ah?'"}		{"fi":" lsg='7 ah?'"}	{"fi":" lsg='7 ah?'"}
01X	vn65	Allgemeinbibliografien (nicht themenbezogen)		Allgemeinbibliografien (nicht themenbezogen)	General bibliographies (not theme-orientated)		General bibliographies (not theme-orientated)	{"goe":{"fi":" lsg='7 aj?' or lsg='7 ak?' or lsg='7 al?' or lsg='7 am?'"},"kiel":["ska 003.000","ska 015.000","ska 033.000","ska 035.000","ska 037.000","ska 048.000","ska 077.000","ska 146.700","ska 153.000","ska 161.000","ska 163.000","ska 168.000","ska 670.000","ska 870.000","ska 914.000","nor 001*","nor 210.000","nor 251.200","nor 280.200","nor 340.000","nor 460.000","nor 500.000","nor 610.000","lan 543.000","kom 842*","kom 841k","kom 876*","ska 222.000","jus 941.100","jus 942.000","jus 949.000","jus 954.000","jus 956.000"]}	01-	["ska 003.000","ska 015.000","ska 033.000","ska 035.000","ska 037.000","ska 048.000","ska 077.000","ska 146.700","ska 153.000","ska 161.000","ska 163.000","ska 168.000","ska 670.000","ska 870.000","ska 914.000","nor 001*","nor 210.000","nor 251.200","nor 280.200","nor 340.000","nor 460.000","nor 500.000","nor 610.000","lan 543.000","kom 842*","kom 841k","kom 876*","ska 222.000","jus 941.100","jus 942.000","jus 949.000","jus 954.000","jus 956.000"]	["ska 003.000","ska 015.000","ska 033.000","ska 035.000","ska 037.000","ska 048.000","ska 077.000","ska 146.700","ska 153.000","ska 161.000","ska 163.000","ska 168.000","ska 670.000","ska 870.000","ska 914.000","nor 001*","nor 210.000","nor 251.200","nor 280.200","nor 340.000","nor 460.000","nor 500.000","nor 610.000","lan 543.000","kom 842*","kom 841k","kom 876*","ska 222.000","jus 941.100","jus 942.000","jus 949.000","jus 954.000","jus 956.000"]		["ska 003.000","ska 015.000","ska 033.000","ska 035.000","ska 037.000","ska 048.000","ska 077.000","ska 146.700","ska 153.000","ska 161.000","ska 163.000","ska 168.000","ska 670.000","ska 870.000","ska 914.000","nor 001*","nor 210.000","nor 251.200","nor 280.200","nor 340.000","nor 460.000","nor 500.000","nor 610.000","lan 543.000","kom 842*","kom 841k","kom 876*","ska 222.000","jus 941.100","jus 942.000","jus 949.000","jus 954.000","jus 956.000"]	{"fi":" lsg='7 aj?' or lsg='7 ak?' or lsg='7 al?' or lsg='7 am?'"}	{"fi":" lsg='7 aj?' or lsg='7 ak?' or lsg='7 al?' or lsg='7 am?'"}		{"fi":" lsg='7 aj?' or lsg='7 ak?' or lsg='7 al?' or lsg='7 am?'"}	{"fi":" lsg='7 aj?' or lsg='7 ak?' or lsg='7 al?' or lsg='7 am?'"}
02X	vn65	Bibliotheks- und Informationswissenschaften		Bibliotheks- und Informationswissenschaften	Library and information sciences		Library and information sciences	{"goe":{"fi":" lsg='7 aw?' or lsg='7 ax?' or lsg='7 ag?'"}}	02-		["kom 474*","kom 495*"]		["kom 474*","kom 495*"]	{"fi":" lsg='7 aw?' or lsg='7 ax?' or lsg='7 ag?'"}	{"fi":" lsg='7 aw?' or lsg='7 ax?' or lsg='7 ag?'"}		{"fi":" lsg='7 aw?' or lsg='7 ax?' or lsg='7 ag?'"}	{"fi":" lsg='7 aw?' or lsg='7 ax?' or lsg='7 ag?'"}
020	02X	Allgemeines		Allgemeines	General works		General works	{"goe":{"fi":" lsg='7 aw?' or lsg='7 ax?' or lsg='7 ag?'"},"kiel":["kom 474*"]}	020	["kom 474*"]	["kom 474*"]		["kom 474*"]	{"fi":" lsg='7 aw?' or lsg='7 ax?' or lsg='7 ag?'"}	{"fi":" lsg='7 aw?' or lsg='7 ax?' or lsg='7 ag?'"}		{"fi":" lsg='7 aw?' or lsg='7 ax?' or lsg='7 ag?'"}	{"fi":" lsg='7 aw?' or lsg='7 ax?' or lsg='7 ag?'"}
021	02X	Beziehungen zwischen Bibliotheken		Beziehungen zwischen Bibliotheken	Relationships of libraries		Relationships of libraries	{"goe":{"fi":" lsg='7 awd 700'"}}	021			[]		{"fi":" lsg='7 awd 700'"}	{"fi":" lsg='7 awd 700'"}		{"fi":" lsg='7 awd 700'"}	{"fi":" lsg='7 awd 700'"}
022	02X	Verwaltung von Bibliotheksgebäuden		Verwaltung von Bibliotheksgebäuden	Administration of physical plant		Administration of physical plant	{"goe":{"fi":" lsg='7 awn 000' or lsg='7 awn 600' or lsg='7 awd 100'"}}	022			[]		{"fi":" lsg='7 awn 000' or lsg='7 awn 600' or lsg='7 awd 100'"}	{"fi":" lsg='7 awn 000' or lsg='7 awn 600' or lsg='7 awd 100'"}		{"fi":" lsg='7 awn 000' or lsg='7 awn 600' or lsg='7 awd 100'"}	{"fi":" lsg='7 awn 000' or lsg='7 awn 600' or lsg='7 awd 100'"}
