,,,,,,DDC,Aufloesung,Kommentar_SUB,Gesamtraum_SUB,Nordeuropa_SUB,Skandinavien_SUB,Daenemark_SUB,Island_SUB,Groenland_SUB,Schweden_SUB,Norwegen_SUB,Finnland_SUB,Baltikum_SUB,Estland_SUB,Lettland_SUB,Litauen_SUB,,Gesamtraum_SUB,Nordeuropa_SUB,Skandinavien_SUB,Daenemark_SUB,Island_SUB,Groenland_SUB,Schweden_SUB,Norwegen_SUB,Finnland_SUB,Baltikum_SUB,Estland_SUB,Lettland_SUB,Litauen_SUB,JSON
ID,,parent,parent exists,parent ≠ self,#children,,,lkl,,,,,,,,,,,,,,,pazpar2,pazpar2,pazpar2,pazpar2,pazpar2,pazpar2,pazpar2,pazpar2,pazpar2,pazpar2,pazpar2,pazpar2,pazpar2,
,,,,,,,,,all,nord,sca,dk,ic,gro,se,no,fi,bal,ee,lv,lt,,all,nord,sca,dk,ic,gro,se,no,fi,bal,ee,lv,lt,
vifanord-ROOT,vifanord-ROOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0**,0XX,vifanord-ROOT,vifanord-ROOT,,,0**,"Informationswissenschaft, allgemeine Werke",,,,,,,,,,AA*,,,,,,,,,,,,,,"lkl=""aa?""",,,,,"{""fi"":""lkl=\""aa?\""""}"
00*,00X,0XX,0XX,TRUE,3,00*,"Informatik, Wissen, das Buch",,,,,,,,,,AH* OR AGR 100 OR AR* OR AS*,,,,,,,,,,,,,,"lkl=""ah?"" or lkl=""agr 100"" or lkl=""ar?"" or lkl=""as?""",,,,,"{""fi"":""lkl=\""ah?\"" or lkl=\""agr 100\"" or lkl=\""ar?\"" or lkl=\""as?\""""}"
001,001,00X,00X,TRUE,0,001,Wissen,,,,,,,,,,AGR 100,,,,,,,,,,,,,,"lkl=""agr 100""",,,,,"{""fi"":""lkl=\""agr 100\""""}"
002,002,00X,00X,TRUE,0,002,Das Buch,,,,,,,,,,AR* OR AS*,,,,,,,,,,,,,,"lkl=""ar?"" or lkl=""as?""",,,,,"{""fi"":""lkl=\""ar?\"" or lkl=\""as?\""""}"
004,004,00X,00X,TRUE,0,004,Informatik,"nicht belegt:005,006 (spezielle Inf.)",,,,,,,,,AH*,,,,,,,,,,,,,,"lkl=""ah?""",,,,,"{""fi"":""lkl=\""ah?\""""}"
01*,01X,0XX,0XX,TRUE,0,01*,Bibliografien,,,,,,,,,,AJ* OR AK* OR AL* OR AM*,,,,,,,,,,,,,,"lkl=""aj?"" or lkl=""ak?"" or lkl=""al?"" or lkl=""am?""",,,,,"{""fi"":""lkl=\""aj?\"" or lkl=\""ak?\"" or lkl=\""al?\"" or lkl=\""am?\""""}"
02*,02X,0XX,0XX,TRUE,8,02*,Bibliotheks- und Informationswissenschaften,,,,,,,,,,AW* OR AX* OR AG*,,,,,,,,,,,,,,"lkl=""aw?"" or lkl=""ax?"" or lkl=""ag?""",,,,,"{""fi"":""lkl=\""aw?\"" or lkl=\""ax?\"" or lkl=\""ag?\""""}"
020,020,02X,02X,TRUE,0,020,Allgemeines,,,,,,,,,,AW* OR AX* OR AG*,,,,,,,,,,,,,,"lkl=""aw?"" or lkl=""ax?"" or lkl=""ag?""",,,,,"{""fi"":""lkl=\""aw?\"" or lkl=\""ax?\"" or lkl=\""ag?\""""}"
021,021,02X,02X,TRUE,0,021,Beziehungen zwischen Bibliotheken,,,,,,,,,,AWD 700,,,,,,,,,,,,,,"lkl=""awd 700""",,,,,"{""fi"":""lkl=\""awd 700\""""}"
022,022,02X,02X,TRUE,0,022,Verwaltung von Bibliotheksgebäuden,,,,,,,,,,AWN 000 OR AWN 600 OR AWD 100,,,,,,,,,,,,,,"lkl=""awn 000"" or lkl=""awn 600"" or lkl=""awd 100""",,,,,"{""fi"":""lkl=\""awn 000\"" or lkl=\""awn 600\"" or lkl=\""awd 100\""""}"
023,023,02X,02X,TRUE,0,023,Personalwesen,,,,,,,,,,AWA 5*-AWA 8*,,,,,,,,,,,,,,"lkl=""awa 5?-awa 8?""",,,,,"{""fi"":""lkl=\""awa 5?-awa 8?\""""}"
