,,,,,,DDC,Aufloesung,Aufloesung_englisch,Anzeige,Kommentar_HGW,Nordeuropa_HGW,Skandinavien_HGW,Daenemark_HGW,Island_HGW,Faeroer_HGW,Groenland_HGW,Schweden_HGW,Norwegen_HGW,Finnland_HGW,Baltikum_HGW,Estland_HGW,Lettland_HGW,Litauen_HGW,Gesamtraum_HGW,Nordeuropa_HGW,Skandinavien_HGW,Daenemark_HGW,Island_HGW,Faeroer_HGW,Groenland_HGW,Schweden_HGW,Norwegen_HGW,Finnland_HGW,Baltikum_HGW,Estland_HGW,Lettland_HGW,Litauen_HGW,Gesamtraum_HGW,JSON
ID,,parent,parent exists,parent ≠ self,#children,,,,,lklhgw,,,,,,,,,,,,,,,für pazpar2,für pazpar2,für pazpar2,für pazpar2,für pazpar2,für pazpar2,für pazpar2,für pazpar2,für pazpar2,für pazpar2,für pazpar2,für pazpar2,für pazpar2,für pazpar2,
,,,,,,,,,,,,,,,,,,,,,,,,,nord,sca,dk,ic,fae,gro,se,no,fi,bal,ee,lv,lt,all,
vifanord-ROOT,vifanord-ROOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0**,0XX,vifanord-ROOT,vifanord-ROOT,TRUE,8,0**,Allgemeines und Informationswesen,"Information, general works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
00*,00X,0XX,0XX,TRUE,3,00*,"Informatik, Wissen, das Buch","Computer Science, Knowledge, The book",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
001,001,00X,00X,TRUE,0,001,Wissen und Wissenschaftskunde,Knowledge and Knowledge lore,,"Hier auch Wissenschaftspolitik, Wissensoziologie, Wissenschaftspraxis lt. DDC nicht! Sondern nur Wissenstheorie, Wiss. u. Gelehrsamkeit, Geisteswiss., Forschung u. Statist. Methoden, Grenzwissen",AK 1* OR AK 2* OR (AK 3* NOT AK 39*) OR QP 20* OR QP 21* OR NU 1500 OR NU 2000,AK 341* OR AK 342* OR AK 3430*,AK 3415*,AK 3423*,,AK 3420*,AK 3430*,AK 3425*,AK 3435*,AK 1* OR AK 2* OR (AK 3* NOT AK 39*) OR QP 20* OR QP 21* OR NU 1500 OR NU 2000,,,,AK 1* OR AK 2* OR (AK 3* NOT AK 39*) OR QP 20* OR QP 21* OR NU 1500 OR NU 2000,"lklhgw=""ak 1?"" or lklhgw=""ak 2?"" or (lklhgw=""ak 3?"" not lklhgw=""ak 39?"")"" or lklhgw=""qp 20?"" or lklhgw=""qp 21?"" or lklhgw=""nu 1500"" or lklhgw=""nu 2000""","lklhgw=""ak 341?"" or lklhgw=""ak 342?"" or lklhgw=""ak 3430?""","lklhgw=""ak 3415?""","lklhgw=""ak 3423?""",,"lklhgw=""ak 3420?""","lklhgw=""ak 3430?""","lklhgw=""ak 3425?""","lklhgw=""ak 3435?""","lklhgw=""ak 1?"" or lklhgw=""ak 2?"" or (lklhgw=""ak 3?"" not lklhgw=""ak 39?"")"" or lklhgw=""qp 20?"" or lklhgw=""qp 21?"" or lklhgw=""nu 1500"" or lklhgw=""nu 2000""",,,,"lklhgw=""ak 1?"" or lklhgw=""ak 2?"" or (lklhgw=""ak 3?"" not lklhgw=""ak 39?"")"" or lklhgw=""qp 20?"" or lklhgw=""qp 21?"" or lklhgw=""nu 1500"" or lklhgw=""nu 2000""","{""nord"":""lklhgw=\""ak 1?\"" or lklhgw=\""ak 2?\"" or (lklhgw=\""ak 3?\"" not lklhgw=\""ak 39?\"")\"" or lklhgw=\""qp 20?\"" or lklhgw=\""qp 21?\"" or lklhgw=\""nu 1500\"" or lklhgw=\""nu 2000\"""",""sca"":""lklhgw=\""ak 341?\"" or lklhgw=\""ak 342?\"" or lklhgw=\""ak 3430?\"""",""dk"":""lklhgw=\""ak 3415?\"""",""ic"":""lklhgw=\""ak 3423?\"""",""gro"":""lklhgw=\""ak 3420?\"""",""se"":""lklhgw=\""ak 3430?\"""",""no"":""lklhgw=\""ak 3425?\"""",""fi"":""lklhgw=\""ak 3435?\"""",""bal"":""lklhgw=\""ak 1?\"" or lklhgw=\""ak 2?\"" or (lklhgw=\""ak 3?\"" not lklhgw=\""ak 39?\"")\"" or lklhgw=\""qp 20?\"" or lklhgw=\""qp 21?\"" or lklhgw=\""nu 1500\"" or lklhgw=\""nu 2000\"""",""all"":""lklhgw=\""ak 1?\"" or lklhgw=\""ak 2?\"" or (lklhgw=\""ak 3?\"" not lklhgw=\""ak 39?\"")\"" or lklhgw=\""qp 20?\"" or lklhgw=\""qp 21?\"" or lklhgw=\""nu 1500\"" or lklhgw=\""nu 2000\""""}"
002,002,00X,00X,TRUE,0,002,Buchkunde,Bibliology,,hier auch Handschriften (DDC 09*),AM 4* OR AM 5* OR AM 6* OR AM 7* OR AM 8* OR AM 9* OR AN 14* OR AN 15* OR AN 16* OR AN 17* OR AN 18* OR AN 19* OR AN 2* OR AN 3* OR AN 4*,(AN 1622* NOT AN 16227) OR (AN 1822* NOT AN 18227) OR (AN 4122* NOT AN 41227) OR (AN 1!!2* NOT AN 1!!27) OR (AN 2!!2* NOT AN 2!!27) OR (AN 3!!2* NOT AN 3!!27) OR (AN 4!!2* NOT AN 4!!27),AN 16223 OR AN 18223 OR AN 41223 OR AN 1!!23 OR AN 2!!23 OR AN 3!!23 OR AN 4!!23,AN 16224 OR AN 18224 OR AN 41224 OR AN 1!!24 OR AN 2!!24 OR AN 3!!24 OR AN 4!!24,,AN 16246 OR AN 18246 OR AN 41246 ,AN 16226 OR AN 18226 OR AN 41226 OR AN 1!!26 OR AN 2!!26 OR AN 3!!26 OR AN 4!!26,AN 16225 OR AN 18225 OR AN 41225 OR AN 1!!25 OR AN 2!!25 OR AN 3!!25 OR AN 4!!25,AN 16227 OR AN 18227 OR AN 41227 OR AN 1!!27 OR AN 2!!27 OR AN 3!!27 OR AN 4!!27,AM 4* OR AM 5* OR AM 6* OR AM 7* OR AM 8* OR AM 9* OR AN 14* OR AN 15* OR AN 16* OR AN 17* OR AN 18* OR AN 19* OR AN 2* OR AN 3* OR AN 4*,,,,AM 4* OR AM 5* OR AM 6* OR AM 7* OR AM 8* OR AM 9* OR AN 14* OR AN 15* OR AN 16* OR AN 17* OR AN 18* OR AN 19* OR AN 2* OR AN 3* OR AN 4*,"lklhgw=""am 4?"" or lklhgw=""am 5?"" or lklhgw=""am 6?"" or lklhgw=""am 7?"" or lklhgw=""am 8?"" or lklhgw=""am 9?"" or lklhgw=""an 14?"" or lklhgw=""an 15?"" or lklhgw=""an 16?"" or lklhgw=""an 17?"" or lklhgw=""an 18?"" or lklhgw=""an 19?"" or lklhgw=""an 2?"" or lklhgw=""an 3?"" or lklhgw=""an 4?""","(lklhgw=""an 1622?"" not lklhgw=""an 16227"")"" or (lklhgw=""an 1822?"" not lklhgw=""an 18227"")"" or (lklhgw=""an 4122?"" not lklhgw=""an 41227"")"" or (lklhgw=""an 1!!2?"" not lklhgw=""an 1!!27"")"" or (lklhgw=""an 2!!2?"" not lklhgw=""an 2!!27"")"" or (lklhgw=""an 3!!2?"" not lklhgw=""an 3!!27"")"" or (lklhgw=""an 4!!2?"" not lklhgw=""an 4!!27"")","lklhgw=""an 16223"" or lklhgw=""an 18223"" or lklhgw=""an 41223"" or lklhgw=""an 1!!23"" or lklhgw=""an 2!!23"" or lklhgw=""an 3!!23"" or lklhgw=""an 4!!23""","lklhgw=""an 16224"" or lklhgw=""an 18224"" or lklhgw=""an 41224"" or lklhgw=""an 1!!24"" or lklhgw=""an 2!!24"" or lklhgw=""an 3!!24"" or lklhgw=""an 4!!24""",,"lklhgw=""an 16246"" or lklhgw=""an 18246"" or lklhgw=""an 41246 ""","lklhgw=""an 16226"" or lklhgw=""an 18226"" or lklhgw=""an 41226"" or lklhgw=""an 1!!26"" or lklhgw=""an 2!!26"" or lklhgw=""an 3!!26"" or lklhgw=""an 4!!26""","lklhgw=""an 16225"" or lklhgw=""an 18225"" or lklhgw=""an 41225"" or lklhgw=""an 1!!25"" or lklhgw=""an 2!!25"" or lklhgw=""an 3!!25"" or lklhgw=""an 4!!25""","lklhgw=""an 16227"" or lklhgw=""an 18227"" or lklhgw=""an 41227"" or lklhgw=""an 1!!27"" or lklhgw=""an 2!!27"" or lklhgw=""an 3!!27"" or lklhgw=""an 4!!27""","lklhgw=""am 4?"" or lklhgw=""am 5?"" or lklhgw=""am 6?"" or lklhgw=""am 7?"" or lklhgw=""am 8?"" or lklhgw=""am 9?"" or lklhgw=""an 14?"" or lklhgw=""an 15?"" or lklhgw=""an 16?"" or lklhgw=""an 17?"" or lklhgw=""an 18?"" or lklhgw=""an 19?"" or lklhgw=""an 2?"" or lklhgw=""an 3?"" or lklhgw=""an 4?""",,,,"lklhgw=""am 4?"" or lklhgw=""am 5?"" or lklhgw=""am 6?"" or lklhgw=""am 7?"" or lklhgw=""am 8?"" or lklhgw=""am 9?"" or lklhgw=""an 14?"" or lklhgw=""an 15?"" or lklhgw=""an 16?"" or lklhgw=""an 17?"" or lklhgw=""an 18?"" or lklhgw=""an 19?"" or lklhgw=""an 2?"" or lklhgw=""an 3?"" or lklhgw=""an 4?""","{""nord"":""lklhgw=\""am 4?\"" or lklhgw=\""am 5?\"" or lklhgw=\""am 6?\"" or lklhgw=\""am 7?\"" or lklhgw=\""am 8?\"" or lklhgw=\""am 9?\"" or lklhgw=\""an 14?\"" or lklhgw=\""an 15?\"" or lklhgw=\""an 16?\"" or lklhgw=\""an 17?\"" or lklhgw=\""an 18?\"" or lklhgw=\""an 19?\"" or lklhgw=\""an 2?\"" or lklhgw=\""an 3?\"" or lklhgw=\""an 4?\"""",""sca"":""(lklhgw=\""an 1622?\"" not lklhgw=\""an 16227\"")\"" or (lklhgw=\""an 1822?\"" not lklhgw=\""an 18227\"")\"" or (lklhgw=\""an 4122?\"" not lklhgw=\""an 41227\"")\"" or (lklhgw=\""an 1!!2?\"" not lklhgw=\""an 1!!27\"")\"" or (lklhgw=\""an 2!!2?\"" not lklhgw=\""an 2!!27\"")\"" or (lklhgw=\""an 3!!2?\"" not lklhgw=\""an 3!!27\"")\"" or (lklhgw=\""an 4!!2?\"" not lklhgw=\""an 4!!27\"")"",""dk"":""lklhgw=\""an 16223\"" or lklhgw=\""an 18223\"" or lklhgw=\""an 41223\"" or lklhgw=\""an 1!!23\"" or lklhgw=\""an 2!!23\"" or lklhgw=\""an 3!!23\"" or lklhgw=\""an 4!!23\"""",""ic"":""lklhgw=\""an 16224\"" or lklhgw=\""an 18224\"" or lklhgw=\""an 41224\"" or lklhgw=\""an 1!!24\"" or lklhgw=\""an 2!!24\"" or lklhgw=\""an 3!!24\"" or lklhgw=\""an 4!!24\"""",""gro"":""lklhgw=\""an 16246\"" or lklhgw=\""an 18246\"" or lklhgw=\""an 41246 \"""",""se"":""lklhgw=\""an 16226\"" or lklhgw=\""an 18226\"" or lklhgw=\""an 41226\"" or lklhgw=\""an 1!!26\"" or lklhgw=\""an 2!!26\"" or lklhgw=\""an 3!!26\"" or lklhgw=\""an 4!!26\"""",""no"":""lklhgw=\""an 16225\"" or lklhgw=\""an 18225\"" or lklhgw=\""an 41225\"" or lklhgw=\""an 1!!25\"" or lklhgw=\""an 2!!25\"" or lklhgw=\""an 3!!25\"" or lklhgw=\""an 4!!25\"""",""fi"":""lklhgw=\""an 16227\"" or lklhgw=\""an 18227\"" or lklhgw=\""an 41227\"" or lklhgw=\""an 1!!27\"" or lklhgw=\""an 2!!27\"" or lklhgw=\""an 3!!27\"" or lklhgw=\""an 4!!27\"""",""bal"":""lklhgw=\""am 4?\"" or lklhgw=\""am 5?\"" or lklhgw=\""am 6?\"" or lklhgw=\""am 7?\"" or lklhgw=\""am 8?\"" or lklhgw=\""am 9?\"" or lklhgw=\""an 14?\"" or lklhgw=\""an 15?\"" or lklhgw=\""an 16?\"" or lklhgw=\""an 17?\"" or lklhgw=\""an 18?\"" or lklhgw=\""an 19?\"" or lklhgw=\""an 2?\"" or lklhgw=\""an 3?\"" or lklhgw=\""an 4?\"""",""all"":""lklhgw=\""am 4?\"" or lklhgw=\""am 5?\"" or lklhgw=\""am 6?\"" or lklhgw=\""am 7?\"" or lklhgw=\""am 8?\"" or lklhgw=\""am 9?\"" or lklhgw=\""an 14?\"" or lklhgw=\""an 15?\"" or lklhgw=\""an 16?\"" or lklhgw=\""an 17?\"" or lklhgw=\""an 18?\"" or lklhgw=\""an 19?\"" or lklhgw=\""an 2?\"" or lklhgw=\""an 3?\"" or lklhgw=\""an 4?\""""}"
004,004,00X,00X,TRUE,0,004,Informatik,Computer Science,,"nicht belegt:005,006 (spezielle Inf.)",SQ* OR SR* OR SS* OR ST* OR SU*,,,,,,,,,SQ* OR SR* OR SS* OR ST* OR SU*,,,,SQ* OR SR* OR SS* OR ST* OR SU*,"lklhgw=""sq?"" or lklhgw=""sr?"" or lklhgw=""ss?"" or lklhgw=""st?"" or lklhgw=""su?""",,,,,,,,,"lklhgw=""sq?"" or lklhgw=""sr?"" or lklhgw=""ss?"" or lklhgw=""st?"" or lklhgw=""su?""",,,,"lklhgw=""sq?"" or lklhgw=""sr?"" or lklhgw=""ss?"" or lklhgw=""st?"" or lklhgw=""su?""","{""nord"":""lklhgw=\""sq?\"" or lklhgw=\""sr?\"" or lklhgw=\""ss?\"" or lklhgw=\""st?\"" or lklhgw=\""su?\"""",""bal"":""lklhgw=\""sq?\"" or lklhgw=\""sr?\"" or lklhgw=\""ss?\"" or lklhgw=\""st?\"" or lklhgw=\""su?\"""",""all"":""lklhgw=\""sq?\"" or lklhgw=\""sr?\"" or lklhgw=\""ss?\"" or lklhgw=\""st?\"" or lklhgw=\""su?\""""}"
01*,01X,0XX,0XX,TRUE,0,01*,Allgemeinbibliografien (nicht themenbezogen),General bibliographies (not theme-orientated),,"auch Bibliothekskataloge, Nationalbibliographien, nur wenige RVK-Stellen angegeben, sonst zu langer String bei sehr wenigen Treffern",AA* OR AB* OR AC* OR AD* OR GZ !10*,(AA 12* NOT AA 127*) OR (AA 32* NOT AA 327*) OR (AA 6* NOT AA 635*) OR (AB 12* NOT AB 127*) OR (AB 22* NOT AB 2270*) OR (AB 9* NOT AB 9635*),AA 123* OR AA 323* OR AA 615* OR AB 123* OR AB 223* OR AB 9615*,AA 1240* OR AA 3240* OR AA 620* OR AB 1240* OR AB 22400 OR AB 96200,,AA 1246* OR AA 3246* OR AA 623* OR AB 1246* OR AB 22460 OR AB 96230,AA 126* OR AA 326* OR AA 630* OR AB 126* OR AB 22600 OR AB 96300,AA 125* OR AA 325* OR AA 625* OR AB 125* OR AB 22500 OR AB 96250,AA 127* OR AA 327* OR AA 635* OR AB 127* OR AB 2270* OR AB 9635*,AA* OR AB* OR AC* OR AD* OR EZ 100*,,,,AA* OR AB* OR AC* OR AD* OR EZ 100* OR GZ !10*,"lklhgw=""aa?"" or lklhgw=""ab?"" or lklhgw=""ac?"" or lklhgw=""ad?"" or lklhgw=""gz !10?""","(lklhgw=""aa 12?"" not lklhgw=""aa 127?"")"" or (lklhgw=""aa 32?"" not lklhgw=""aa 327?"")"" or (lklhgw=""aa 6?"" not lklhgw=""aa 635?"")"" or (lklhgw=""ab 12?"" not lklhgw=""ab 127?"")"" or (lklhgw=""ab 22?"" not lklhgw=""ab 2270?"")"" or (lklhgw=""ab 9?"" not lklhgw=""ab 9635?"")","lklhgw=""aa 123?"" or lklhgw=""aa 323?"" or lklhgw=""aa 615?"" or lklhgw=""ab 123?"" or lklhgw=""ab 223?"" or lklhgw=""ab 9615?""","lklhgw=""aa 1240?"" or lklhgw=""aa 3240?"" or lklhgw=""aa 620?"" or lklhgw=""ab 1240?"" or lklhgw=""ab 22400"" or lklhgw=""ab 96200""",,"lklhgw=""aa 1246?"" or lklhgw=""aa 3246?"" or lklhgw=""aa 623?"" or lklhgw=""ab 1246?"" or lklhgw=""ab 22460"" or lklhgw=""ab 96230""","lklhgw=""aa 126?"" or lklhgw=""aa 326?"" or lklhgw=""aa 630?"" or lklhgw=""ab 126?"" or lklhgw=""ab 22600"" or lklhgw=""ab 96300""","lklhgw=""aa 125?"" or lklhgw=""aa 325?"" or lklhgw=""aa 625?"" or lklhgw=""ab 125?"" or lklhgw=""ab 22500"" or lklhgw=""ab 96250""","lklhgw=""aa 127?"" or lklhgw=""aa 327?"" or lklhgw=""aa 635?"" or lklhgw=""ab 127?"" or lklhgw=""ab 2270?"" or lklhgw=""ab 9635?""","lklhgw=""aa?"" or lklhgw=""ab?"" or lklhgw=""ac?"" or lklhgw=""ad?"" or lklhgw=""ez 100?""",,,,"lklhgw=""aa?"" or lklhgw=""ab?"" or lklhgw=""ac?"" or lklhgw=""ad?"" or lklhgw=""ez 100?"" or lklhgw=""gz !10?""","{""nord"":""lklhgw=\""aa?\"" or lklhgw=\""ab?\"" or lklhgw=\""ac?\"" or lklhgw=\""ad?\"" or lklhgw=\""gz !10?\"""",""sca"":""(lklhgw=\""aa 12?\"" not lklhgw=\""aa 127?\"")\"" or (lklhgw=\""aa 32?\"" not lklhgw=\""aa 327?\"")\"" or (lklhgw=\""aa 6?\"" not lklhgw=\""aa 635?\"")\"" or (lklhgw=\""ab 12?\"" not lklhgw=\""ab 127?\"")\"" or (lklhgw=\""ab 22?\"" not lklhgw=\""ab 2270?\"")\"" or (lklhgw=\""ab 9?\"" not lklhgw=\""ab 9635?\"")"",""dk"":""lklhgw=\""aa 123?\"" or lklhgw=\""aa 323?\"" or lklhgw=\""aa 615?\"" or lklhgw=\""ab 123?\"" or lklhgw=\""ab 223?\"" or lklhgw=\""ab 9615?\"""",""ic"":""lklhgw=\""aa 1240?\"" or lklhgw=\""aa 3240?\"" or lklhgw=\""aa 620?\"" or lklhgw=\""ab 1240?\"" or lklhgw=\""ab 22400\"" or lklhgw=\""ab 96200\"""",""gro"":""lklhgw=\""aa 1246?\"" or lklhgw=\""aa 3246?\"" or lklhgw=\""aa 623?\"" or lklhgw=\""ab 1246?\"" or lklhgw=\""ab 22460\"" or lklhgw=\""ab 96230\"""",""se"":""lklhgw=\""aa 126?\"" or lklhgw=\""aa 326?\"" or lklhgw=\""aa 630?\"" or lklhgw=\""ab 126?\"" or lklhgw=\""ab 22600\"" or lklhgw=\""ab 96300\"""",""no"":""lklhgw=\""aa 125?\"" or lklhgw=\""aa 325?\"" or lklhgw=\""aa 625?\"" or lklhgw=\""ab 125?\"" or lklhgw=\""ab 22500\"" or lklhgw=\""ab 96250\"""",""fi"":""lklhgw=\""aa 127?\"" or lklhgw=\""aa 327?\"" or lklhgw=\""aa 635?\"" or lklhgw=\""ab 127?\"" or lklhgw=\""ab 2270?\"" or lklhgw=\""ab 9635?\"""",""bal"":""lklhgw=\""aa?\"" or lklhgw=\""ab?\"" or lklhgw=\""ac?\"" or lklhgw=\""ad?\"" or lklhgw=\""ez 100?\"""",""all"":""lklhgw=\""aa?\"" or lklhgw=\""ab?\"" or lklhgw=\""ac?\"" or lklhgw=\""ad?\"" or lklhgw=\""ez 100?\"" or lklhgw=\""gz !10?\""""}"
02*,02X,0XX,0XX,TRUE,8,02*,Bibliotheks- und Informationswissenschaften,Library and information sciences,,,AN 10* OR AN 11* OR AN 12* OR AN 13* OR AN 5* OR AN 6* OR AN 7* OR AN 8* OR AN 9* OR AN 39* OR AN 40*,,,,,,,,,AN 10* OR AN 11* OR AN 12* OR AN 13* OR AN 5* OR AN 6* OR AN 7* OR AN 8* OR AN 9* OR AN 39* OR AN 40*,,,,AN 10* OR AN 11* OR AN 12* OR AN 13* OR AN 5* OR AN 6* OR AN 7* OR AN 8* OR AN 9* OR AN 39* OR AN 40*,"lklhgw=""an 10?"" or lklhgw=""an 11?"" or lklhgw=""an 12?"" or lklhgw=""an 13?"" or lklhgw=""an 5?"" or lklhgw=""an 6?"" or lklhgw=""an 7?"" or lklhgw=""an 8?"" or lklhgw=""an 9?"" or lklhgw=""an 39?"" or lklhgw=""an 40?""",,,,,,,,,"lklhgw=""an 10?"" or lklhgw=""an 11?"" or lklhgw=""an 12?"" or lklhgw=""an 13?"" or lklhgw=""an 5?"" or lklhgw=""an 6?"" or lklhgw=""an 7?"" or lklhgw=""an 8?"" or lklhgw=""an 9?"" or lklhgw=""an 39?"" or lklhgw=""an 40?""",,,,"lklhgw=""an 10?"" or lklhgw=""an 11?"" or lklhgw=""an 12?"" or lklhgw=""an 13?"" or lklhgw=""an 5?"" or lklhgw=""an 6?"" or lklhgw=""an 7?"" or lklhgw=""an 8?"" or lklhgw=""an 9?"" or lklhgw=""an 39?"" or lklhgw=""an 40?""","{""nord"":""lklhgw=\""an 10?\"" or lklhgw=\""an 11?\"" or lklhgw=\""an 12?\"" or lklhgw=\""an 13?\"" or lklhgw=\""an 5?\"" or lklhgw=\""an 6?\"" or lklhgw=\""an 7?\"" or lklhgw=\""an 8?\"" or lklhgw=\""an 9?\"" or lklhgw=\""an 39?\"" or lklhgw=\""an 40?\"""",""bal"":""lklhgw=\""an 10?\"" or lklhgw=\""an 11?\"" or lklhgw=\""an 12?\"" or lklhgw=\""an 13?\"" or lklhgw=\""an 5?\"" or lklhgw=\""an 6?\"" or lklhgw=\""an 7?\"" or lklhgw=\""an 8?\"" or lklhgw=\""an 9?\"" or lklhgw=\""an 39?\"" or lklhgw=\""an 40?\"""",""all"":""lklhgw=\""an 10?\"" or lklhgw=\""an 11?\"" or lklhgw=\""an 12?\"" or lklhgw=\""an 13?\"" or lklhgw=\""an 5?\"" or lklhgw=\""an 6?\"" or lklhgw=\""an 7?\"" or lklhgw=\""an 8?\"" or lklhgw=\""an 9?\"" or lklhgw=\""an 39?\"" or lklhgw=\""an 40?\""""}"
