Hierarchie,,,,,,,Hierarchie_back,KISS,Gesamtraum_KIEL,Nordeuropa_KIEL,Skandinavien_KIEL,Daenemark_KIEL,Groenland_KIEL,Island_KIEL,Faeroer_KIEL,Schweden_KIEL,Norwegen_KIEL,Finnland_KIEL,Baltikum_KIEL,Estland_KIEL,Lettland_KIEL,Litauen_KIEL,Gesamtraum_KIEL,Nordeuropa_KIEL,Skandinavien_KIEL,Daenemark_KIEL,Groenland_KIEL,Island_KIEL,Faeroer_KIEL,Schweden_KIEL,Norwegen_KIEL,Finnland_KIEL,Baltikum_KIEL,Estland_KIEL,Lettland_KIEL,Litauen_KIEL,JSON
,match,newID,parent,parent exists,parent ≠ self,#children,,,,,,,,,,,,,,,,,deriviert,deriviert,deriviert,deriviert,deriviert,deriviert,deriviert,deriviert,deriviert,deriviert,deriviert,deriviert,deriviert,deriviert,
,,,,,,,,,,,,,,,,,,,,,,,all,nord,sca,dk,gro,ic,fae,se,no,fi,bal,ee,lv,lt,
,,vifanord-ROOT,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
002,002,002,,,,,002,kom 885*,,,,1,,,,1,,1,,,,,#N/A,"kiss=""kom 918.900""","kiss=""kom 918.900""","kiss=""kom 885*"" or kiss=""kom 896*"" or kiss=""kom 901*"" or kiss=""kom 918.900""","kiss=""kom 918.900""","kiss=""kom 901*"" or kiss=""kom 918.900""","kiss=""kom 918.900""","kiss=""kom 885*"" or kiss=""kom 896*"" or kiss=""kom 901*"" or kiss=""kom 918.900""","kiss=""kom 896*"" or kiss=""kom 901*"" or kiss=""kom 918.900""","kiss=""kom 885*"" or kiss=""kom 896*"" or kiss=""kom 901*""",#N/A,#N/A,#N/A,#N/A,"{""nord"":""kiss=\""kom 918.900\"""",""sca"":""kiss=\""kom 918.900\"""",""dk"":""kiss=\""kom 885*\"" or kiss=\""kom 896*\"" or kiss=\""kom 901*\"" or kiss=\""kom 918.900\"""",""gro"":""kiss=\""kom 918.900\"""",""ic"":""kiss=\""kom 901*\"" or kiss=\""kom 918.900\"""",""fae"":""kiss=\""kom 918.900\"""",""se"":""kiss=\""kom 885*\"" or kiss=\""kom 896*\"" or kiss=\""kom 901*\"" or kiss=\""kom 918.900\"""",""no"":""kiss=\""kom 896*\"" or kiss=\""kom 901*\"" or kiss=\""kom 918.900\"""",""fi"":""kiss=\""kom 885*\"" or kiss=\""kom 896*\"" or kiss=\""kom 901*\""""}"
002,002,002,vifanord-ROOT,vifanord-ROOT,TRUE,0,002,kom 896*,,,,1,,,,1,1,1,,,,,#N/A,"kiss=""kom 918.900""","kiss=""kom 918.900""","kiss=""kom 885*"" or kiss=""kom 896*"" or kiss=""kom 901*"" or kiss=""kom 918.900""","kiss=""kom 918.900""","kiss=""kom 901*"" or kiss=""kom 918.900""","kiss=""kom 918.900""","kiss=""kom 885*"" or kiss=""kom 896*"" or kiss=""kom 901*"" or kiss=""kom 918.900""","kiss=""kom 896*"" or kiss=""kom 901*"" or kiss=""kom 918.900""","kiss=""kom 885*"" or kiss=""kom 896*"" or kiss=""kom 901*""",#N/A,#N/A,#N/A,#N/A,"{""nord"":""kiss=\""kom 918.900\"""",""sca"":""kiss=\""kom 918.900\"""",""dk"":""kiss=\""kom 885*\"" or kiss=\""kom 896*\"" or kiss=\""kom 901*\"" or kiss=\""kom 918.900\"""",""gro"":""kiss=\""kom 918.900\"""",""ic"":""kiss=\""kom 901*\"" or kiss=\""kom 918.900\"""",""fae"":""kiss=\""kom 918.900\"""",""se"":""kiss=\""kom 885*\"" or kiss=\""kom 896*\"" or kiss=\""kom 901*\"" or kiss=\""kom 918.900\"""",""no"":""kiss=\""kom 896*\"" or kiss=\""kom 901*\"" or kiss=\""kom 918.900\"""",""fi"":""kiss=\""kom 885*\"" or kiss=\""kom 896*\"" or kiss=\""kom 901*\""""}"
002,002,002,00X,,TRUE,0,002,kom 901*,,,,1,,1,,1,1,1,,,,,#N/A,"kiss=""kom 918.900""","kiss=""kom 918.900""","kiss=""kom 885*"" or kiss=""kom 896*"" or kiss=""kom 901*"" or kiss=""kom 918.900""","kiss=""kom 918.900""","kiss=""kom 901*"" or kiss=""kom 918.900""","kiss=""kom 918.900""","kiss=""kom 885*"" or kiss=""kom 896*"" or kiss=""kom 901*"" or kiss=""kom 918.900""","kiss=""kom 896*"" or kiss=""kom 901*"" or kiss=""kom 918.900""","kiss=""kom 885*"" or kiss=""kom 896*"" or kiss=""kom 901*""",#N/A,#N/A,#N/A,#N/A,"{""nord"":""kiss=\""kom 918.900\"""",""sca"":""kiss=\""kom 918.900\"""",""dk"":""kiss=\""kom 885*\"" or kiss=\""kom 896*\"" or kiss=\""kom 901*\"" or kiss=\""kom 918.900\"""",""gro"":""kiss=\""kom 918.900\"""",""ic"":""kiss=\""kom 901*\"" or kiss=\""kom 918.900\"""",""fae"":""kiss=\""kom 918.900\"""",""se"":""kiss=\""kom 885*\"" or kiss=\""kom 896*\"" or kiss=\""kom 901*\"" or kiss=\""kom 918.900\"""",""no"":""kiss=\""kom 896*\"" or kiss=\""kom 901*\"" or kiss=\""kom 918.900\"""",""fi"":""kiss=\""kom 885*\"" or kiss=\""kom 896*\"" or kiss=\""kom 901*\""""}"
002,002,002,00X,,TRUE,0,002,kom 918.900,,1,1,1,1,1,1,1,1,,,,,,#N/A,"kiss=""kom 918.900""","kiss=""kom 918.900""","kiss=""kom 885*"" or kiss=""kom 896*"" or kiss=""kom 901*"" or kiss=""kom 918.900""","kiss=""kom 918.900""","kiss=""kom 901*"" or kiss=""kom 918.900""","kiss=""kom 918.900""","kiss=""kom 885*"" or kiss=""kom 896*"" or kiss=""kom 901*"" or kiss=""kom 918.900""","kiss=""kom 896*"" or kiss=""kom 901*"" or kiss=""kom 918.900""","kiss=""kom 885*"" or kiss=""kom 896*"" or kiss=""kom 901*""",#N/A,#N/A,#N/A,#N/A,"{""nord"":""kiss=\""kom 918.900\"""",""sca"":""kiss=\""kom 918.900\"""",""dk"":""kiss=\""kom 885*\"" or kiss=\""kom 896*\"" or kiss=\""kom 901*\"" or kiss=\""kom 918.900\"""",""gro"":""kiss=\""kom 918.900\"""",""ic"":""kiss=\""kom 901*\"" or kiss=\""kom 918.900\"""",""fae"":""kiss=\""kom 918.900\"""",""se"":""kiss=\""kom 885*\"" or kiss=\""kom 896*\"" or kiss=\""kom 901*\"" or kiss=\""kom 918.900\"""",""no"":""kiss=\""kom 896*\"" or kiss=\""kom 901*\"" or kiss=\""kom 918.900\"""",""fi"":""kiss=\""kom 885*\"" or kiss=\""kom 896*\"" or kiss=\""kom 901*\""""}"
01*,01X,01X,0XX,,TRUE,0,01,ska 003.000,1,,1,,,,,,,,,,,,"kiss=""ska 003.000"" or kiss=""ska 015.000"" or kiss=""ska 033.000"" or kiss=""ska 035.000"" or kiss=""ska 037.000"" or kiss=""ska 048.000"" or kiss=""ska 077.000"" or kiss=""ska 146.700"" or kiss=""ska 153.000"" or kiss=""ska 161.000"" or kiss=""ska 163.000"" or kiss=""ska 168.000""","kiss=""ska 146.700"" or kiss=""ska 870.000"" or kiss=""ska 914.000"" or kiss=""kom 842*"" or kiss=""kom 841k"" or kiss=""kom 876*"" or kiss=""ska 222.000"" or kiss=""jus 941.100""","kiss=""ska 003.000"" or kiss=""ska 146.700"" or kiss=""ska 670.000"" or kiss=""ska 870.000"" or kiss=""ska 914.000"" or kiss=""kom 842*"" or kiss=""kom 841k"" or kiss=""kom 876*"" or kiss=""ska 222.000"" or kiss=""jus 941.100""","kiss=""ska 015.000"" or kiss=""ska 146.700"" or kiss=""ska 153.000"" or kiss=""ska 670.000"" or kiss=""ska 870.000"" or kiss=""ska 914.000"" or kiss=""kom 842*"" or kiss=""kom 841k"" or kiss=""kom 876*"" or kiss=""ska 222.000"" or kiss=""jus 941.100"" or kiss=""jus 942.000""","kiss=""ska 035.000"" or kiss=""ska 146.700"" or kiss=""ska 670.000"" or kiss=""ska 870.000"" or kiss=""ska 914.000"" or kiss=""kom 842*"" or kiss=""kom 841k"" or kiss=""kom 876*"" or kiss=""ska 222.000"" or kiss=""jus 941.100""","kiss=""ska 037.000"" or kiss=""ska 146.700"" or kiss=""ska 161.000"" or kiss=""ska 670.000"" or kiss=""ska 870.000"" or kiss=""ska 914.000"" or kiss=""kom 842*"" or kiss=""kom 841k"" or kiss=""kom 876*"" or kiss=""ska 222.000"" or kiss=""jus 941.100""","kiss=""ska 033.000"" or kiss=""ska 146.700"" or kiss=""ska 670.000"" or kiss=""ska 870.000"" or kiss=""ska 914.000"" or kiss=""kom 842*"" or kiss=""kom 841k"" or kiss=""kom 876*"" or kiss=""ska 222.000"" or kiss=""jus 941.100""","kiss=""ska 077.000"" or kiss=""ska 146.700"" or kiss=""ska 168.000"" or kiss=""ska 670.000"" or kiss=""ska 870.000"" or kiss=""ska 914.000"" or kiss=""kom 842*"" or kiss=""kom 841k"" or kiss=""kom 876*"" or kiss=""ska 222.000"" or kiss=""jus 941.100"" or kiss=""jus 956.000""","kiss=""ska 048.000"" or kiss=""ska 146.700"" or kiss=""ska 163.000"" or kiss=""ska 670.000"" or kiss=""ska 870.000"" or kiss=""ska 914.000"" or kiss=""kom 842*"" or kiss=""kom 841k"" or kiss=""kom 876*"" or kiss=""ska 222.000"" or kiss=""jus 941.100"" or kiss=""jus 954.000""","kiss=""ska 146.700"" or kiss=""ska 870.000"" or kiss=""ska 914.000"" or kiss=""lan 543.000"" or kiss=""kom 842*"" or kiss=""kom 876*"" or kiss=""jus 941.100"" or kiss=""jus 949.000""",#N/A,#N/A,#N/A,#N/A,"{""all"":""kiss=\""ska 003.000\"" or kiss=\""ska 015.000\"" or kiss=\""ska 033.000\"" or kiss=\""ska 035.000\"" or kiss=\""ska 037.000\"" or kiss=\""ska 048.000\"" or kiss=\""ska 077.000\"" or kiss=\""ska 146.700\"" or kiss=\""ska 153.000\"" or kiss=\""ska 161.000\"" or kiss=\""ska 163.000\"" or kiss=\""ska 168.000\"""",""nord"":""kiss=\""ska 146.700\"" or kiss=\""ska 870.000\"" or kiss=\""ska 914.000\"" or kiss=\""kom 842*\"" or kiss=\""kom 841k\"" or kiss=\""kom 876*\"" or kiss=\""ska 222.000\"" or kiss=\""jus 941.100\"""",""sca"":""kiss=\""ska 003.000\"" or kiss=\""ska 146.700\"" or kiss=\""ska 670.000\"" or kiss=\""ska 870.000\"" or kiss=\""ska 914.000\"" or kiss=\""kom 842*\"" or kiss=\""kom 841k\"" or kiss=\""kom 876*\"" or kiss=\""ska 222.000\"" or kiss=\""jus 941.100\"""",""dk"":""kiss=\""ska 015.000\"" or kiss=\""ska 146.700\"" or kiss=\""ska 153.000\"" or kiss=\""ska 670.000\"" or kiss=\""ska 870.000\"" or kiss=\""ska 914.000\"" or kiss=\""kom 842*\"" or kiss=\""kom 841k\"" or kiss=\""kom 876*\"" or kiss=\""ska 222.000\"" or kiss=\""jus 941.100\"" or kiss=\""jus 942.000\"""",""gro"":""kiss=\""ska 035.000\"" or kiss=\""ska 146.700\"" or kiss=\""ska 670.000\"" or kiss=\""ska 870.000\"" or kiss=\""ska 914.000\"" or kiss=\""kom 842*\"" or kiss=\""kom 841k\"" or kiss=\""kom 876*\"" or kiss=\""ska 222.000\"" or kiss=\""jus 941.100\"""",""ic"":""kiss=\""ska 037.000\"" or kiss=\""ska 146.700\"" or kiss=\""ska 161.000\"" or kiss=\""ska 670.000\"" or kiss=\""ska 870.000\"" or kiss=\""ska 914.000\"" or kiss=\""kom 842*\"" or kiss=\""kom 841k\"" or kiss=\""kom 876*\"" or kiss=\""ska 222.000\"" or kiss=\""jus 941.100\"""",""fae"":""kiss=\""ska 033.000\"" or kiss=\""ska 146.700\"" or kiss=\""ska 670.000\"" or kiss=\""ska 870.000\"" or kiss=\""ska 914.000\"" or kiss=\""kom 842*\"" or kiss=\""kom 841k\"" or kiss=\""kom 876*\"" or kiss=\""ska 222.000\"" or kiss=\""jus 941.100\"""",""se"":""kiss=\""ska 077.000\"" or kiss=\""ska 146.700\"" or kiss=\""ska 168.000\"" or kiss=\""ska 670.000\"" or kiss=\""ska 870.000\"" or kiss=\""ska 914.000\"" or kiss=\""kom 842*\"" or kiss=\""kom 841k\"" or kiss=\""kom 876*\"" or kiss=\""ska 222.000\"" or kiss=\""jus 941.100\"" or kiss=\""jus 956.000\"""",""no"":""kiss=\""ska 048.000\"" or kiss=\""ska 146.700\"" or kiss=\""ska 163.000\"" or kiss=\""ska 670.000\"" or kiss=\""ska 870.000\"" or kiss=\""ska 914.000\"" or kiss=\""kom 842*\"" or kiss=\""kom 841k\"" or kiss=\""kom 876*\"" or kiss=\""ska 222.000\"" or kiss=\""jus 941.100\"" or kiss=\""jus 954.000\"""",""fi"":""kiss=\""ska 146.700\"" or kiss=\""ska 870.000\"" or kiss=\""ska 914.000\"" or kiss=\""lan 543.000\"" or kiss=\""kom 842*\"" or kiss=\""kom 876*\"" or kiss=\""jus 941.100\"" or kiss=\""jus 949.000\""""}"
01*,01X,01X,0XX,,TRUE,0,01,ska 015.000,1,,,1,,,,,,,,,,,"kiss=""ska 003.000"" or kiss=""ska 015.000"" or kiss=""ska 033.000"" or kiss=""ska 035.000"" or kiss=""ska 037.000"" or kiss=""ska 048.000"" or kiss=""ska 077.000"" or kiss=""ska 146.700"" or kiss=""ska 153.000"" or kiss=""ska 161.000"" or kiss=""ska 163.000"" or kiss=""ska 168.000""","kiss=""ska 146.700"" or kiss=""ska 870.000"" or kiss=""ska 914.000"" or kiss=""kom 842*"" or kiss=""kom 841k"" or kiss=""kom 876*"" or kiss=""ska 222.000"" or kiss=""jus 941.100""","kiss=""ska 003.000"" or kiss=""ska 146.700"" or kiss=""ska 670.000"" or kiss=""ska 870.000"" or kiss=""ska 914.000"" or kiss=""kom 842*"" or kiss=""kom 841k"" or kiss=""kom 876*"" or kiss=""ska 222.000"" or kiss=""jus 941.100""","kiss=""ska 015.000"" or kiss=""ska 146.700"" or kiss=""ska 153.000"" or kiss=""ska 670.000"" or kiss=""ska 870.000"" or kiss=""ska 914.000"" or kiss=""kom 842*"" or kiss=""kom 841k"" or kiss=""kom 876*"" or kiss=""ska 222.000"" or kiss=""jus 941.100"" or kiss=""jus 942.000""","kiss=""ska 035.000"" or kiss=""ska 146.700"" or kiss=""ska 670.000"" or kiss=""ska 870.000"" or kiss=""ska 914.000"" or kiss=""kom 842*"" or kiss=""kom 841k"" or kiss=""kom 876*"" or kiss=""ska 222.000"" or kiss=""jus 941.100""","kiss=""ska 037.000"" or kiss=""ska 146.700"" or kiss=""ska 161.000"" or kiss=""ska 670.000"" or kiss=""ska 870.000"" or kiss=""ska 914.000"" or kiss=""kom 842*"" or kiss=""kom 841k"" or kiss=""kom 876*"" or kiss=""ska 222.000"" or kiss=""jus 941.100""","kiss=""ska 033.000"" or kiss=""ska 146.700"" or kiss=""ska 670.000"" or kiss=""ska 870.000"" or kiss=""ska 914.000"" or kiss=""kom 842*"" or kiss=""kom 841k"" or kiss=""kom 876*"" or kiss=""ska 222.000"" or kiss=""jus 941.100""","kiss=""ska 077.000"" or kiss=""ska 146.700"" or kiss=""ska 168.000"" or kiss=""ska 670.000"" or kiss=""ska 870.000"" or kiss=""ska 914.000"" or kiss=""kom 842*"" or kiss=""kom 841k"" or kiss=""kom 876*"" or kiss=""ska 222.000"" or kiss=""jus 941.100"" or kiss=""jus 956.000""","kiss=""ska 048.000"" or kiss=""ska 146.700"" or kiss=""ska 163.000"" or kiss=""ska 670.000"" or kiss=""ska 870.000"" or kiss=""ska 914.000"" or kiss=""kom 842*"" or kiss=""kom 841k"" or kiss=""kom 876*"" or kiss=""ska 222.000"" or kiss=""jus 941.100"" or kiss=""jus 954.000""","kiss=""ska 146.700"" or kiss=""ska 870.000"" or kiss=""ska 914.000"" or kiss=""lan 543.000"" or kiss=""kom 842*"" or kiss=""kom 876*"" or kiss=""jus 941.100"" or kiss=""jus 949.000""",#N/A,#N/A,#N/A,#N/A,"{""all"":""kiss=\""ska 003.000\"" or kiss=\""ska 015.000\"" or kiss=\""ska 033.000\"" or kiss=\""ska 035.000\"" or kiss=\""ska 037.000\"" or kiss=\""ska 048.000\"" or kiss=\""ska 077.000\"" or kiss=\""ska 146.700\"" or kiss=\""ska 153.000\"" or kiss=\""ska 161.000\"" or kiss=\""ska 163.000\"" or kiss=\""ska 168.000\"""",""nord"":""kiss=\""ska 146.700\"" or kiss=\""ska 870.000\"" or kiss=\""ska 914.000\"" or kiss=\""kom 842*\"" or kiss=\""kom 841k\"" or kiss=\""kom 876*\"" or kiss=\""ska 222.000\"" or kiss=\""jus 941.100\"""",""sca"":""kiss=\""ska 003.000\"" or kiss=\""ska 146.700\"" or kiss=\""ska 670.000\"" or kiss=\""ska 870.000\"" or kiss=\""ska 914.000\"" or kiss=\""kom 842*\"" or kiss=\""kom 841k\"" or kiss=\""kom 876*\"" or kiss=\""ska 222.000\"" or kiss=\""jus 941.100\"""",""dk"":""kiss=\""ska 015.000\"" or kiss=\""ska 146.700\"" or kiss=\""ska 153.000\"" or kiss=\""ska 670.000\"" or kiss=\""ska 870.000\"" or kiss=\""ska 914.000\"" or kiss=\""kom 842*\"" or kiss=\""kom 841k\"" or kiss=\""kom 876*\"" or kiss=\""ska 222.000\"" or kiss=\""jus 941.100\"" or kiss=\""jus 942.000\"""",""gro"":""kiss=\""ska 035.000\"" or kiss=\""ska 146.700\"" or kiss=\""ska 670.000\"" or kiss=\""ska 870.000\"" or kiss=\""ska 914.000\"" or kiss=\""kom 842*\"" or kiss=\""kom 841k\"" or kiss=\""kom 876*\"" or kiss=\""ska 222.000\"" or kiss=\""jus 941.100\"""",""ic"":""kiss=\""ska 037.000\"" or kiss=\""ska 146.700\"" or kiss=\""ska 161.000\"" or kiss=\""ska 670.000\"" or kiss=\""ska 870.000\"" or kiss=\""ska 914.000\"" or kiss=\""kom 842*\"" or kiss=\""kom 841k\"" or kiss=\""kom 876*\"" or kiss=\""ska 222.000\"" or kiss=\""jus 941.100\"""",""fae"":""kiss=\""ska 033.000\"" or kiss=\""ska 146.700\"" or kiss=\""ska 670.000\"" or kiss=\""ska 870.000\"" or kiss=\""ska 914.000\"" or kiss=\""kom 842*\"" or kiss=\""kom 841k\"" or kiss=\""kom 876*\"" or kiss=\""ska 222.000\"" or kiss=\""jus 941.100\"""",""se"":""kiss=\""ska 077.000\"" or kiss=\""ska 146.700\"" or kiss=\""ska 168.000\"" or kiss=\""ska 670.000\"" or kiss=\""ska 870.000\"" or kiss=\""ska 914.000\"" or kiss=\""kom 842*\"" or kiss=\""kom 841k\"" or kiss=\""kom 876*\"" or kiss=\""ska 222.000\"" or kiss=\""jus 941.100\"" or kiss=\""jus 956.000\"""",""no"":""kiss=\""ska 048.000\"" or kiss=\""ska 146.700\"" or kiss=\""ska 163.000\"" or kiss=\""ska 670.000\"" or kiss=\""ska 870.000\"" or kiss=\""ska 914.000\"" or kiss=\""kom 842*\"" or kiss=\""kom 841k\"" or kiss=\""kom 876*\"" or kiss=\""ska 222.000\"" or kiss=\""jus 941.100\"" or kiss=\""jus 954.000\"""",""fi"":""kiss=\""ska 146.700\"" or kiss=\""ska 870.000\"" or kiss=\""ska 914.000\"" or kiss=\""lan 543.000\"" or kiss=\""kom 842*\"" or kiss=\""kom 876*\"" or kiss=\""jus 941.100\"" or kiss=\""jus 949.000\""""}"
01*,01X,01X,0XX,,TRUE,0,01,ska 033.000,1,,,,,,1,,,,,,,,"kiss=""ska 003.000"" or kiss=""ska 015.000"" or kiss=""ska 033.000"" or kiss=""ska 035.000"" or kiss=""ska 037.000"" or kiss=""ska 048.000"" or kiss=""ska 077.000"" or kiss=""ska 146.700"" or kiss=""ska 153.000"" or kiss=""ska 161.000"" or kiss=""ska 163.000"" or kiss=""ska 168.000""","kiss=""ska 146.700"" or kiss=""ska 870.000"" or kiss=""ska 914.000"" or kiss=""kom 842*"" or kiss=""kom 841k"" or kiss=""kom 876*"" or kiss=""ska 222.000"" or kiss=""jus 941.100""","kiss=""ska 003.000"" or kiss=""ska 146.700"" or kiss=""ska 670.000"" or kiss=""ska 870.000"" or kiss=""ska 914.000"" or kiss=""kom 842*"" or kiss=""kom 841k"" or kiss=""kom 876*"" or kiss=""ska 222.000"" or kiss=""jus 941.100""","kiss=""ska 015.000"" or kiss=""ska 146.700"" or kiss=""ska 153.000"" or kiss=""ska 670.000"" or kiss=""ska 870.000"" or kiss=""ska 914.000"" or kiss=""kom 842*"" or kiss=""kom 841k"" or kiss=""kom 876*"" or kiss=""ska 222.000"" or kiss=""jus 941.100"" or kiss=""jus 942.000""","kiss=""ska 035.000"" or kiss=""ska 146.700"" or kiss=""ska 670.000"" or kiss=""ska 870.000"" or kiss=""ska 914.000"" or kiss=""kom 842*"" or kiss=""kom 841k"" or kiss=""kom 876*"" or kiss=""ska 222.000"" or kiss=""jus 941.100""","kiss=""ska 037.000"" or kiss=""ska 146.700"" or kiss=""ska 161.000"" or kiss=""ska 670.000"" or kiss=""ska 870.000"" or kiss=""ska 914.000"" or kiss=""kom 842*"" or kiss=""kom 841k"" or kiss=""kom 876*"" or kiss=""ska 222.000"" or kiss=""jus 941.100""","kiss=""ska 033.000"" or kiss=""ska 146.700"" or kiss=""ska 670.000"" or kiss=""ska 870.000"" or kiss=""ska 914.000"" or kiss=""kom 842*"" or kiss=""kom 841k"" or kiss=""kom 876*"" or kiss=""ska 222.000"" or kiss=""jus 941.100""","kiss=""ska 077.000"" or kiss=""ska 146.700"" or kiss=""ska 168.000"" or kiss=""ska 670.000"" or kiss=""ska 870.000"" or kiss=""ska 914.000"" or kiss=""kom 842*"" or kiss=""kom 841k"" or kiss=""kom 876*"" or kiss=""ska 222.000"" or kiss=""jus 941.100"" or kiss=""jus 956.000""","kiss=""ska 048.000"" or kiss=""ska 146.700"" or kiss=""ska 163.000"" or kiss=""ska 670.000"" or kiss=""ska 870.000"" or kiss=""ska 914.000"" or kiss=""kom 842*"" or kiss=""kom 841k"" or kiss=""kom 876*"" or kiss=""ska 222.000"" or kiss=""jus 941.100"" or kiss=""jus 954.000""","kiss=""ska 146.700"" or kiss=""ska 870.000"" or kiss=""ska 914.000"" or kiss=""lan 543.000"" or kiss=""kom 842*"" or kiss=""kom 876*"" or kiss=""jus 941.100"" or kiss=""jus 949.000""",#N/A,#N/A,#N/A,#N/A,"{""all"":""kiss=\""ska 003.000\"" or kiss=\""ska 015.000\"" or kiss=\""ska 033.000\"" or kiss=\""ska 035.000\"" or kiss=\""ska 037.000\"" or kiss=\""ska 048.000\"" or kiss=\""ska 077.000\"" or kiss=\""ska 146.700\"" or kiss=\""ska 153.000\"" or kiss=\""ska 161.000\"" or kiss=\""ska 163.000\"" or kiss=\""ska 168.000\"""",""nord"":""kiss=\""ska 146.700\"" or kiss=\""ska 870.000\"" or kiss=\""ska 914.000\"" or kiss=\""kom 842*\"" or kiss=\""kom 841k\"" or kiss=\""kom 876*\"" or kiss=\""ska 222.000\"" or kiss=\""jus 941.100\"""",""sca"":""kiss=\""ska 003.000\"" or kiss=\""ska 146.700\"" or kiss=\""ska 670.000\"" or kiss=\""ska 870.000\"" or kiss=\""ska 914.000\"" or kiss=\""kom 842*\"" or kiss=\""kom 841k\"" or kiss=\""kom 876*\"" or kiss=\""ska 222.000\"" or kiss=\""jus 941.100\"""",""dk"":""kiss=\""ska 015.000\"" or kiss=\""ska 146.700\"" or kiss=\""ska 153.000\"" or kiss=\""ska 670.000\"" or kiss=\""ska 870.000\"" or kiss=\""ska 914.000\"" or kiss=\""kom 842*\"" or kiss=\""kom 841k\"" or kiss=\""kom 876*\"" or kiss=\""ska 222.000\"" or kiss=\""jus 941.100\"" or kiss=\""jus 942.000\"""",""gro"":""kiss=\""ska 035.000\"" or kiss=\""ska 146.700\"" or kiss=\""ska 670.000\"" or kiss=\""ska 870.000\"" or kiss=\""ska 914.000\"" or kiss=\""kom 842*\"" or kiss=\""kom 841k\"" or kiss=\""kom 876*\"" or kiss=\""ska 222.000\"" or kiss=\""jus 941.100\"""",""ic"":""kiss=\""ska 037.000\"" or kiss=\""ska 146.700\"" or kiss=\""ska 161.000\"" or kiss=\""ska 670.000\"" or kiss=\""ska 870.000\"" or kiss=\""ska 914.000\"" or kiss=\""kom 842*\"" or kiss=\""kom 841k\"" or kiss=\""kom 876*\"" or kiss=\""ska 222.000\"" or kiss=\""jus 941.100\"""",""fae"":""kiss=\""ska 033.000\"" or kiss=\""ska 146.700\"" or kiss=\""ska 670.000\"" or kiss=\""ska 870.000\"" or kiss=\""ska 914.000\"" or kiss=\""kom 842*\"" or kiss=\""kom 841k\"" or kiss=\""kom 876*\"" or kiss=\""ska 222.000\"" or kiss=\""jus 941.100\"""",""se"":""kiss=\""ska 077.000\"" or kiss=\""ska 146.700\"" or kiss=\""ska 168.000\"" or kiss=\""ska 670.000\"" or kiss=\""ska 870.000\"" or kiss=\""ska 914.000\"" or kiss=\""kom 842*\"" or kiss=\""kom 841k\"" or kiss=\""kom 876*\"" or kiss=\""ska 222.000\"" or kiss=\""jus 941.100\"" or kiss=\""jus 956.000\"""",""no"":""kiss=\""ska 048.000\"" or kiss=\""ska 146.700\"" or kiss=\""ska 163.000\"" or kiss=\""ska 670.000\"" or kiss=\""ska 870.000\"" or kiss=\""ska 914.000\"" or kiss=\""kom 842*\"" or kiss=\""kom 841k\"" or kiss=\""kom 876*\"" or kiss=\""ska 222.000\"" or kiss=\""jus 941.100\"" or kiss=\""jus 954.000\"""",""fi"":""kiss=\""ska 146.700\"" or kiss=\""ska 870.000\"" or kiss=\""ska 914.000\"" or kiss=\""lan 543.000\"" or kiss=\""kom 842*\"" or kiss=\""kom 876*\"" or kiss=\""jus 941.100\"" or kiss=\""jus 949.000\""""}"
