ID,parent,DE,EN,JSON,JSON neu,Kommentar,goe,kiel vorher,kiel # vorher,kiel # nachher,kiel nachher,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen,kiel Themen
,,,,0,,,,,406,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001,00X,Wissen und Wissenschaftskunde,Knowledge and Knowledge lore,"{""goe"":{""fi"":"" lsg=\""7 agr 100\""""}}","{""goe"":{""fi"":"" lsg=\""7 agr 100\""""}}",,"{""fi"":"" lsg=\""7 agr 100\""""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002,00X,Buchkunde,Bibliology,"{""kiel"":[""kom 885?"",""kom 896?"",""kom 901?"",""kom 918.900""],""goe"":{""fi"":"" lsg=\""7 ar?\"" or lsg=\""7 as?\""""}}","{""kiel"":[""kom 885?"",""kom 896?"",""kom 901?"",""kom 918.900""],""goe"":{""fi"":"" lsg=\""7 ar?\"" or lsg=\""7 as?\""""}}",,"{""fi"":"" lsg=\""7 ar?\"" or lsg=\""7 as?\""""}","[""kom 885?"",""kom 896?"",""kom 901?"",""kom 918.900""]",4,4,"[""kom 885?"",""kom 896?"",""kom 901?"",""kom 918.900""]",kom 885?,kom 896?,kom 901?,kom 918.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00X,vn65,"Informatik, Wissen, das Buch","Computer Science, Knowledge, The book","{""kiel"":[""kom 885?"",""kom 896?"",""kom 901?"",""kom 918.900""],""goe"":{""fi"":"" lsg=\""7 ah?\"" or lsg=\""7 agr 100\"" or lsg=\""7 ar?\"" or lsg=\""7 as?\""""}}","{""kiel"":[""kom 885?"",""kom 896?"",""kom 901?"",""kom 918.900""],""goe"":{""fi"":"" lsg=\""7 ah?\"" or lsg=\""7 agr 100\"" or lsg=\""7 ar?\"" or lsg=\""7 as?\""""}}",,"{""fi"":"" lsg=\""7 ah?\"" or lsg=\""7 agr 100\"" or lsg=\""7 ar?\"" or lsg=\""7 as?\""""}","[""kom 885?"",""kom 896?"",""kom 901?"",""kom 918.900""]",4,4,"[""kom 885?"",""kom 896?"",""kom 901?"",""kom 918.900""]",kom 885?,kom 896?,kom 901?,kom 918.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01X,vn65,Allgemeinbibliografien (nicht themenbezogen),General bibliographies (not theme-orientated),"{""kiel"":[""ska 003.000"",""ska 015.000"",""ska 033.000"",""ska 035.000"",""ska 037.000"",""ska 048.000"",""ska 077.000"",""ska 146.700"",""ska 153.000"",""ska 161.000"",""ska 163.000"",""ska 168.000"",""ska 670.000"",""ska 870.000"",""ska 914.000"",""nor 001?"",""nor 210.000"",""nor 251.200"",""nor 280.200"",""nor 340.000"",""nor 460.000"",""nor 500.000"",""nor 610.000"",""lan 543.000"",""kom 842?"",""kom 841k"",""kom 876?"",""ska 222.000"",""jus 941.100"",""jus 942.000"",""jus 949.000"",""jus 954.000"",""jus 956.000""],""goe"":{""fi"":"" lsg=\""7 aj?\"" or lsg=\""7 ak?\"" or lsg=\""7 al?\"" or lsg=\""7 am?\""""}}","{""kiel"":[""ska 003.000"",""ska 015.000"",""ska 033.000"",""ska 035.000"",""ska 037.000"",""ska 048.000"",""ska 077.000"",""ska 146.700"",""ska 153.000"",""ska 161.000"",""ska 163.000"",""ska 168.000"",""ska 670.000"",""ska 870.000"",""ska 914.000"",""nor 001?"",""nor 210.000"",""nor 251.200"",""nor 280.200"",""nor 340.000"",""nor 460.000"",""nor 500.000"",""nor 610.000""],""goe"":{""fi"":"" lsg=\""7 aj?\"" or lsg=\""7 ak?\"" or lsg=\""7 al?\"" or lsg=\""7 am?\""""}}",,"{""fi"":"" lsg=\""7 aj?\"" or lsg=\""7 ak?\"" or lsg=\""7 al?\"" or lsg=\""7 am?\""""}","[""ska 003.000"",""ska 015.000"",""ska 033.000"",""ska 035.000"",""ska 037.000"",""ska 048.000"",""ska 077.000"",""ska 146.700"",""ska 153.000"",""ska 161.000"",""ska 163.000"",""ska 168.000"",""ska 670.000"",""ska 870.000"",""ska 914.000"",""nor 001?"",""nor 210.000"",""nor 251.200"",""nor 280.200"",""nor 340.000"",""nor 460.000"",""nor 500.000"",""nor 610.000"",""lan 543.000"",""kom 842?"",""kom 841k"",""kom 876?"",""ska 222.000"",""jus 941.100"",""jus 942.000"",""jus 949.000"",""jus 954.000"",""jus 956.000""]",33,23,"[""ska 003.000"",""ska 015.000"",""ska 033.000"",""ska 035.000"",""ska 037.000"",""ska 048.000"",""ska 077.000"",""ska 146.700"",""ska 153.000"",""ska 161.000"",""ska 163.000"",""ska 168.000"",""ska 670.000"",""ska 870.000"",""ska 914.000"",""nor 001?"",""nor 210.000"",""nor 251.200"",""nor 280.200"",""nor 340.000"",""nor 460.000"",""nor 500.000"",""nor 610.000""]",ska 003.000,ska 015.000,ska 033.000,ska 035.000,ska 037.000,ska 048.000,ska 077.000,ska 146.700,ska 153.000,ska 161.000,ska 163.000,ska 168.000,ska 670.000,ska 870.000,ska 914.000,nor 001?,nor 210.000,nor 251.200,nor 280.200,nor 340.000,nor 460.000,nor 500.000,nor 610.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020,02X,Allgemeines,General works,"{""kiel"":[""kom 474?""],""goe"":{""fi"":"" lsg=\""7 aw?\"" or lsg=\""7 ax?\"" or lsg=\""7 ag?\""""}}","{""kiel"":[""kom 474?""],""goe"":{""fi"":"" lsg=\""7 aw?\"" or lsg=\""7 ax?\"" or lsg=\""7 ag?\""""}}",,"{""fi"":"" lsg=\""7 aw?\"" or lsg=\""7 ax?\"" or lsg=\""7 ag?\""""}","[""kom 474?""]",1,1,"[""kom 474?""]",kom 474?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021,02X,Beziehungen zwischen Bibliotheken,Relationships of libraries,"{""goe"":{""fi"":"" lsg=\""7 awd 700\""""}}","{""goe"":{""fi"":"" lsg=\""7 awd 700\""""}}",,"{""fi"":"" lsg=\""7 awd 700\""""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022,02X,Verwaltung von Bibliotheksgebäuden,Administration of physical plant,"{""goe"":{""fi"":"" lsg=\""7 awn 000\"" or lsg=\""7 awn 600\"" or lsg=\""7 awd 100\""""}}","{""goe"":{""fi"":"" lsg=\""7 awn 000\"" or lsg=\""7 awn 600\"" or lsg=\""7 awd 100\""""}}",,"{""fi"":"" lsg=\""7 awn 000\"" or lsg=\""7 awn 600\"" or lsg=\""7 awd 100\""""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023,02X,Personalwesen,Personnel management,"{""goe"":{""fi"":"" lsg=\""7 awa 5?-awa 8?\""""}}","{""goe"":{""fi"":"" lsg=\""7 awa 5?-awa 8?\""""}}",,"{""fi"":"" lsg=\""7 awa 5?-awa 8?\""""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025,02X,Bibliothekarische Tätigkeiten,Library operations,"{""goe"":{""fi"":"" lsg=\""7 awd?\"" or lsg=\""7 awf?\"" or lsg=\""7 awg?\"" or lsg=\""7 awh?\"" or lsg=\""7 awk?\"" not lsg=\""7 awd 0?\"" not lsg=\""7 awd 11?\""""}}","{""goe"":{""fi"":"" lsg=\""7 awd?\"" or lsg=\""7 awf?\"" or lsg=\""7 awg?\"" or lsg=\""7 awh?\"" or lsg=\""7 awk?\"" not lsg=\""7 awd 0?\"" not lsg=\""7 awd 11?\""""}}",,"{""fi"":"" lsg=\""7 awd?\"" or lsg=\""7 awf?\"" or lsg=\""7 awg?\"" or lsg=\""7 awh?\"" or lsg=\""7 awk?\"" not lsg=\""7 awd 0?\"" not lsg=\""7 awd 11?\""""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
