001;00X;Wissen und Wissenschaftskunde;"{""goe"":{""fi"":"" lsg=\""7 agr 100\""""}}";Knowledge and Knowledge lore
002;00X;Buchkunde;"{""kiel"":[""kom 885?"",""kom 896?"",""kom 901?"",""kom 918.900""],""goe"":{""fi"":"" lsg=\""7 ar?\"" or lsg=\""7 as?\""""}}";Bibliology
00X;vn65;Informatik, Wissen, das Buch;"{""kiel"":[""kom 885?"",""kom 896?"",""kom 901?"",""kom 918.900""],""goe"":{""fi"":"" lsg=\""7 ah?\"" or lsg=\""7 agr 100\"" or lsg=\""7 ar?\"" or lsg=\""7 as?\""""}}";Computer Science, Knowledge, The book
01X;vn65;Allgemeinbibliografien (nicht themenbezogen);"{""kiel"":[""ska 003.000"",""ska 015.000"",""ska 033.000"",""ska 035.000"",""ska 037.000"",""ska 048.000"",""ska 077.000"",""ska 146.700"",""ska 153.000"",""ska 161.000"",""ska 163.000"",""ska 168.000"",""ska 670.000"",""ska 870.000"",""ska 914.000"",""nor 001?"",""nor 210.000"",""nor 251.200"",""nor 280.200"",""nor 340.000"",""nor 460.000"",""nor 500.000"",""nor 610.000"",""lan 543.000"",""kom 842?"",""kom 841k"",""kom 876?"",""ska 222.000"",""jus 941.100"",""jus 942.000"",""jus 949.000"",""jus 954.000"",""jus 956.000""],""goe"":{""fi"":"" lsg=\""7 aj?\"" or lsg=\""7 ak?\"" or lsg=\""7 al?\"" or lsg=\""7 am?\""""}}";General bibliographies (not theme-orientated)
020;02X;Allgemeines;"{""kiel"":[""kom 474?""],""goe"":{""fi"":"" lsg=\""7 aw?\"" or lsg=\""7 ax?\"" or lsg=\""7 ag?\""""}}";General works
021;02X;Beziehungen zwischen Bibliotheken;"{""goe"":{""fi"":"" lsg=\""7 awd 700\""""}}";Relationships of libraries
022;02X;Verwaltung von Bibliotheksgebäuden;"{""goe"":{""fi"":"" lsg=\""7 awn 000\"" or lsg=\""7 awn 600\"" or lsg=\""7 awd 100\""""}}";Administration of physical plant
023;02X;Personalwesen;"{""goe"":{""fi"":"" lsg=\""7 awa 5?-awa 8?\""""}}";Personnel management
025;02X;Bibliothekarische Tätigkeiten;"{""goe"":{""fi"":"" lsg=\""7 awd?\"" or lsg=\""7 awf?\"" or lsg=\""7 awg?\"" or lsg=\""7 awh?\"" or lsg=\""7 awk?\"" not lsg=\""7 awd 0?\"" not lsg=\""7 awd 11?\""""}}";Library operations
026;02X;Spezialbibliotheken;"{""goe"":{""fi"":"" lsg=\""7 awp 150\""""}}";Libraries devoted to specific subjects
027;02X;Allgemeinbibliotheken;"{""kiel"":[""kom 495?""],""goe"":{""fi"":"" lsg=\""7 awp? ( lsg=\""7\"" not lsg=\""7 awp 150\"")\""""}}";General libraries
02X;vn65;Bibliotheks- und Informationswissenschaften;"{""kiel"":[""kom 474?"",""kom 495?""],""goe"":{""fi"":"" lsg=\""7 aw?\"" or lsg=\""7 ax?\"" or lsg=\""7 ag?\""""}}";Library and information sciences
03X;vn65;Enzyklopädien;"{""kiel"":[""nor 251.300"",""ska 015.080"",""ska 048.080"",""ska 077.080"",""lan 543.092"",""all 38?"",""all 39?""],""goe"":{""fi"":"" lsg=\""7 aaa?\""""}}";Encyclopedic works
05X;vn65;Zeitschriften, allgemeine fortlaufende Sammelwerke;"{""kiel"":[""nor 208?"",""all 2?"",""all 300"",""all 33?"",""all 340?""],""goe"":{""fi"":"" lsg=\""7 arl 19?-arl 22?\"" or lsg=\""7 arm 370\""""}}";Periodicals, General serial publications
060;06X;Allgemeine Organisationen;"{""goe"":{""fi"":"" lsg=\""7 ada 000\""""}}";General organizations
069;06X;Museumswissenschaft;"{""goe"":{""fi"":"" lsg=\""7 ad 000 \""""}}";Museology
06X;vn65;Allgemeine Organisationen, Museumswissenschaft;"{""goe"":{""fi"":"" lsg=\""7 ad 000\"" or lsg=\""7 ada 000\"" or lsg=\""7 adb 000\"" or lsg=\""7 adf 000\"" or lsg=\""7 adn 000\""""}}";General organizations, Museology
07X;vn65;Publizistische Medien, Journalismus, Verlagswesen;"{""kiel"":[""kom 740.3""],""goe"":{""fi"":"" lsg=\""7 bb 1?\"" or lsg=\""7 bba 1?\"" or lsg=\""7 bbb\"" or lsg=\""7 bc 1?\"" or lsg=\""7 au? \""""}}";News media, Journalism, Publishing
08X;vn65;Allgemeine Sammelwerke, Zitatensammlungen;"{""goe"":{""fi"":"" lsg=\""7 arl 040\""""}}";General collections, Collections of quotations
20X;vn4;Allgemeines;"{""kiel"":[""ska 357?"",""ska 476?""],""goe"":{""fi"":"" lsg=\""7 ca?\""""}}";Generalities
251;25X;Zeitlich übergreifend;"{""kiel"":[""ska 212?"",""ska 213?"",""ska 214?"",""ska 220?"",""jus 944.5"",""jus 950.200"",""jus 957.200"",""jus 953.200"",""jus 955.250""]}";Temporally unspecific
252;25X;Mittelalter;"{""kiel"":[""ska 347?"",""ska 348?"",""ska 349?"",""ska 355?""]}";Middle Ages
253;25X;Frühe Neuzeit;"{""kiel"":[""ska 481?"",""ska 483?"",""ska 487?""]}";Modern history
254;25X;19. Jahrhundert;"{""kiel"":[""ska 656?"",""ska 658?""]}";19th century
255;25X;20. Jahrhundert;"{""kiel"":[""ska 656?"",""ska 865?"",""ska 658?""]}";20th century
25X;vn4;Kirchenorganisation;"{""kiel"":[""ska 212?"",""ska 213?"",""ska 214?"",""ska 220?"",""jus 944.5"",""jus 950.200"",""jus 957.200"",""jus 953.200"",""jus 955.250"",""ska 347?"",""ska 348?"",""ska 349?"",""ska 355?"",""ska 481?"",""ska 483?"",""ska 487?"",""ska 656?"",""ska 658?"",""ska 656?"",""ska 865?"",""ska 658?""]}";Church organization
26X;vn4;Mission;"{""kiel"":[""ska 486?"",""ska 664?"",""ska 867.200"",""ska 867.600"",""ska 867.800"",""gsd 495?"",""gsd 503?""],""goe"":{""fi"":"" lsg=\""7 cza 000\""""}}";Missions
271;27X;Zeitlich übergreifend;"{""kiel"":[""ska 209.100"",""ska 209.200"",""ska 209.400"",""ska 209.600"",""ska 209.800"",""ska 218?"",""gsb 936.50"",""gsb 936.60""]}";Temporally unspecific
272;27X;Mittelalter;"{""kiel"":[""ska 340?"",""ska 341?"",""ska 342?"",""ska 343?"",""ska 344?"",""ska 984?"",""rel 491:bir 3"",""gsd 475?""]}";Middle Ages
273;27X;Frühe Neuzeit;"{""kiel"":[""ska 489?"",""ska 984?"",""gsd 475?"",""gsd 485?"",""gsd 970.40""]}";Modern history
274;27X;19. Jahrhundert;"{""kiel"":[""ska 652?"",""ska 654?"",""ska 666?"",""ska 668?"",""gsd 485?""]}";19th century
275;27X;20. Jahrhundert;"{""kiel"":[""ska 652?"",""ska 654?"",""ska 666?"",""ska 668?"",""ska 864?"",""ska 869?"",""ska 867.900""]}";20th century
